,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,UPL.NS,WIPRO.NS
ADANIENT.NS,0.0009511855769903355,0.0005576734495706191,9.498189732294497e-05,9.234987911314229e-05,0.00012740696128161675,0.00010710969519215942,0.00017910341584501953,0.0001786410382464531,9.727044152650176e-05,0.00017586388380226716,4.596866785471399e-05,5.2496075337883406e-05,0.0001694165044924976,9.226615759943047e-05,7.0987338708207e-05,0.00014824025941754894,0.0001641953069229077,7.190969661570865e-05,0.00011696938244931473,0.00012406905872246407,0.00016336555274888668,3.3262418953879314e-05,0.00011440276264146737,0.00017930119399286367,7.363680573357128e-05,0.0001851975317331183,6.017726826072262e-05,0.00017640157990289962,0.00010077744191752505,0.00015244853175252866,0.0001607694341552538,0.00011764796451540681,4.216112099560925e-05,0.00016872612173515268,0.00013573605277235294,0.00012195749767673152,0.00014250221001644165,0.00012876265568242444,0.00020545538415219422,0.00012219860815163716,7.977266424199732e-05,0.00010206737996496394,0.00018853379446664019,6.84036496181783e-05,9.645593247115161e-05,0.0001217365710097975,0.00013366162520170972,0.00017003568728382896,0.00010153511553236325
ADANIPORTS.NS,0.0005576734495706191,0.0005566545757599849,7.909908310023603e-05,8.117652914046831e-05,0.00012751708678819122,9.400372821258655e-05,0.00014942511821040643,0.0001516634005375004,9.408390892972726e-05,0.00017277579471586444,4.7209425734321374e-05,5.141219337186697e-05,0.00016013056116273678,7.480425064725893e-05,6.243857065280257e-05,0.0001250419272033326,0.0001468215894130146,7.272355607116665e-05,0.00011224804670186263,0.00011369673768269382,0.00015739014702848307,4.204232259926415e-05,0.0001091957605345605,0.00017937681300288257,7.040387645686795e-05,0.0001718364052479891,7.135323784485914e-05,0.0001623615548658403,9.373701497661778e-05,0.00015497256133407215,0.0001455176766666165,0.00010624975637908884,4.220584587662726e-05,0.00016102944978313983,0.00012993131911312705,0.00013154545053409641,0.00013812623610490868,0.0001134921290563507,0.000183293076692592,0.0001148201894025483,7.664101953965544e-05,8.705965142424137e-05,0.0001818907353188941,6.489034631043116e-05,9.011495158354494e-05,0.00011778992581511024,0.00012841779461442407,0.00014539442527354565,9.82186556521771e-05
APOLLOHOSP.NS,9.498189732294497e-05,7.909908310023603e-05,0.0002890372525371181,5.0543633355424164e-05,5.242255178903865e-05,5.31243755780989e-05,7.848202357710455e-05,8.803030421343562e-05,4.444809349411912e-05,5.487356777262867e-05,3.878759448739435e-05,5.641704598084411e-05,5.3941346406136513e-05,7.704350534880736e-05,5.2895001107069556e-05,6.450961540075323e-05,6.646556852271756e-05,5.891644807056043e-05,4.233915541889032e-05,6.552225300948011e-05,7.468912591001636e-05,4.3412495419434586e-05,4.937716594899942e-05,6.602877747475078e-05,4.8873507426921226e-05,4.872752516720484e-05,3.3328710882961746e-05,7.18817323630761e-05,4.91020698233454e-05,6.363341923162047e-05,7.001722209940091e-05,4.552751236899552e-05,4.519455875071449e-05,4.808857184248968e-05,3.6409172367030435e-05,4.8941952364828985e-05,4.897736929862211e-05,5.3643082699284765e-05,5.510524113933702e-05,5.2290706712659715e-05,5.374368576944338e-05,6.097021551347527e-05,7.390076631003015e-05,4.315404771812998e-05,7.161019323039588e-05,6.879898661581944e-05,6.278157901164082e-05,6.755096487009874e-05,6.658276993348777e-05
ASIANPAINT.NS,9.234987911314229e-05,8.117652914046831e-05,5.0543633355424164e-05,0.00020280131322521948,3.973821050130929e-05,5.077612933581002e-05,7.511518672326474e-05,7.93387907687429e-05,3.7719637364222716e-05,5.7514532013268047e-05,6.17039529335287e-05,2.7224722075214443e-05,1.1836541937834112e-05,5.4541172551714276e-05,3.239895248144267e-05,7.315423139135083e-05,6.797759429567648e-05,3.8881886732973374e-05,4.777467076697761e-05,6.300274980639674e-05,2.87984648285995e-05,7.008802805461126e-05,4.54151065328885e-05,7.161402023886115e-05,4.054204904099419e-05,4.916591117830445e-05,4.165283172163989e-05,4.742635440927694e-05,4.3465892463883955e-05,6.314484282779324e-05,6.16835925412463e-05,6.598536847218907e-05,5.87437796838674e-05,2.9848212776860583e-05,-3.931110342454555e-06,2.8813453862741213e-05,5.248658339706321e-05,5.0002313466302076e-05,4.6769669550736894e-05,6.0848593533982756e-05,3.355705029548847e-05,6.707166074793932e-05,3.976535281615941e-05,4.6169579334995854e-05,3.9775817642627207e-05,7.146745118047917e-05,7.349855323419798e-05,6.643212574771899e-05,4.371692274783065e-05
AXISBANK.NS,0.00012740696128161675,0.00012751708678819122,5.242255178903865e-05,3.973821050130929e-05,0.00023387043109201057,6.451927338994851e-05,0.00010794497762034901,0.0001086557451785534,5.3519510778656215e-05,7.468535609595522e-05,3.547517208412179e-05,3.054891065894049e-05,7.43302544861261e-05,3.5024227867205575e-05,3.719518749398389e-05,8.629769927400504e-05,8.874791410317446e-05,4.518930928766587e-05,9.125307128642592e-05,6.936132105602197e-05,8.621759808329275e-05,4.2197755670438004e-05,0.00011623148678135797,0.0001287442825315371,4.686696951812561e-05,7.313035999856451e-05,4.734770434078076e-05,9.856282815307857e-05,9.1225229762811e-05,9.267708868871427e-05,8.855949663798393e-05,7.588407456138985e-05,3.6763516575668424e-05,7.536444545420338e-05,6.249296397117221e-05,5.0889320396731315e-05,7.485026752551254e-05,6.578913895588512e-05,0.00013044346042416968,6.708905491099994e-05,2.3712294968398034e-05,5.149723420596871e-05,0.00010679557506960624,4.0371390759969775e-05,4.877255912363581e-05,6.446727460560112e-05,8.289969630703057e-05,7.85280225730805e-05,5.432548513612427e-05
BAJAJ-AUTO.NS,0.00010710969519215942,9.400372821258655e-05,5.31243755780989e-05,5.077612933581002e-05,6.451927338994851e-05,0.00022803138349798368,6.72248728956037e-05,6.672856170889667e-05,5.36523082493597e-05,7.022816280214913e-05,3.599631860185989e-05,2.844465444950666e-05,5.0417338589422086e-05,6.014669093530008e-05,4.1742023113908195e-05,0.00010657193098231559,6.431672411948036e-05,4.3187538292401096e-05,5.2970215276052324e-05,0.0001262460627459238,7.221956840606146e-05,4.053111295686502e-05,4.531515293515161e-05,8.001273479513441e-05,3.3183620821566414e-05,6.975463006379927e-05,3.43638254521835e-05,7.20610134236604e-05,5.148442681628438e-05,6.766290859284619e-05,0.00010669188995556997,9.579710518030071e-05,4.5365401197863075e-05,5.6020688666458755e-05,5.0564160084632906e-05,4.674183782300667e-05,5.953903780449519e-05,5.427692721738379e-05,6.079383668049281e-05,5.471364332721921e-05,4.4141570232935316e-05,5.778640423467579e-05,8.243431490345051e-05,3.1126001986969156e-05,4.215173129650545e-05,7.021512228316961e-05,6.588285150688291e-05,7.66434184998474e-05,4.499617343674532e-05
BAJAJFINSV.NS,0.00017910341584501953,0.00014942511821040643,7.848202357710455e-05,7.511518672326474e-05,0.00010794497762034901,6.72248728956037e-05,0.00028520251618025346,0.00023480617935055104,6.0075430877031025e-05,9.299509401476445e-05,4.6802749434806256e-05,3.273128866956767e-05,7.056558622857823e-05,5.951475043755837e-05,3.4595046759150164e-05,8.926016043588399e-05,0.00010983879026288261,6.84990244546815e-05,9.077825263078019e-05,8.241779960258261e-05,0.00011398370994429492,4.478865003781193e-05,8.999188954205391e-05,0.00013887880877416956,8.045542114025178e-05,8.026873742496136e-05,5.030377539996826e-05,0.00011077523495807708,8.907277137801575e-05,9.842207912988445e-05,0.00011409202643745306,8.287163848032407e-05,5.098605948106794e-05,7.754332066837242e-05,5.1157505114836946e-05,5.179289620979422e-05,8.817628575352595e-05,9.81045213616924e-05,0.00011555522465952804,8.051768292840232e-05,4.5728663089957406e-05,7.287816811863905e-05,0.00013067759957576016,6.512309053230077e-05,8.318045871753026e-05,9.943122141035391e-05,9.921506479245897e-05,9.847910164115008e-05,8.440257567092827e-05
BAJFINANCE.NS,0.0001786410382464531,0.0001516634005375004,8.803030421343562e-05,7.93387907687429e-05,0.0001086557451785534,6.672856170889667e-05,0.00023480617935055104,0.00031427556857676025,6.38502823302563e-05,8.806592136434264e-05,5.108851863454396e-05,2.291723601186903e-05,6.693609762007185e-05,6.113838745357467e-05,3.3265233861156197e-05,9.360080631963465e-05,0.00010865846424126943,6.134611624798661e-05,9.943517772024934e-05,8.006099328701751e-05,0.00010015581585508456,4.908005003737579e-05,9.392264468293495e-05,0.00013806248878583689,7.502816339968858e-05,7.653392615171797e-05,5.6962338461672285e-05,0.00011082552510808308,0.00010071228309531137,9.867717034846857e-05,0.00011675841807074475,8.99822850028734e-05,5.497573961829207e-05,7.39554277151518e-05,5.1637503783210346e-05,4.248702509253912e-05,8.855914913109144e-05,8.577258398323864e-05,0.00011744802798661215,8.006807266330089e-05,4.239333184615476e-05,7.43271591240391e-05,0.00011802061175954919,6.228350915766815e-05,7.531167174338287e-05,0.0001014745018082275,9.995653842812158e-05,0.0001011424502674875,7.943608441947563e-05
BHARTIARTL.NS,9.727044152650176e-05,9.408390892972726e-05,4.444809349411912e-05,3.7719637364222716e-05,5.3519510778656215e-05,5.36523082493597e-05,6.0075430877031025e-05,6.38502823302563e-05,0.00019159172942572215,5.469969727521638e-05,2.8537124859071302e-05,2.867450335780819e-05,5.347496672991134e-05,3.95002863018958e-05,3.368135084892771e-05,6.781788364545153e-05,6.488421271704776e-05,5.9066801602814244e-05,4.900658659691983e-05,5.08543091183652e-05,7.638279226398398e-05,2.6254500756249817e-05,5.750724367674028e-05,6.848743694713726e-05,5.5330810008984034e-05,4.833787813977716e-05,4.107007551531263e-05,7.62925511410449e-05,5.96077744748242e-05,6.142072981503594e-05,6.849885430366086e-05,5.762422023454683e-05,2.7473825533177495e-05,5.057233538100379e-05,6.108936718613086e-05,4.321506706447567e-05,6.0662478961616126e-05,5.3737729420098335e-05,5.883951035738221e-05,4.50592752842102e-05,4.139949391648136e-05,5.251146533913213e-05,7.582159675835096e-05,4.487548890808969e-05,6.139562750061541e-05,5.636739347151191e-05,5.2754580608565224e-05,6.409878132326433e-05,5.532177110166797e-05
BPCL.NS,0.00017586388380226716,0.00017277579471586444,5.487356777262867e-05,5.7514532013268047e-05,7.468535609595522e-05,7.022816280214913e-05,9.299509401476445e-05,8.806592136434264e-05,5.469969727521638e-05,0.00031606363241992865,3.385781555717223e-05,3.203461380245179e-05,0.00012942282920133045,5.311115263412591e-05,4.775929649633137e-05,8.234909947142045e-05,9.96366411856978e-05,4.222398371233037e-05,6.410466103825534e-05,8.683725454720299e-05,0.00010496361052707642,3.010795391034722e-05,5.581037418591337e-05,0.0001028715458204681,4.5737672968878567e-05,0.00024203249057424373,5.018144824158519e-05,0.00011062114685514347,5.831926657253379e-05,0.0001125037906885812,9.909250213704588e-05,6.675069141186107e-05,3.29405820852962e-05,0.00012446008928153508,0.00012256537403556287,0.00011023853352170099,9.317987037430129e-05,7.312176630348442e-05,0.00012407676142301796,7.504093325231324e-05,5.1889684232459826e-05,6.603661019847473e-05,0.0001333756029707212,5.444791064387349e-05,6.594320603305007e-05,7.915506738141101e-05,9.231838033377502e-05,9.887991149822218e-05,7.212473114101602e-05
BRITANNIA.NS,4.596866785471399e-05,4.7209425734321374e-05,3.878759448739435e-05,6.17039529335287e-05,3.547517208412179e-05,3.599631860185989e-05,4.6802749434806256e-05,5.108851863454396e-05,2.8537124859071302e-05,3.385781555717223e-05,0.00016144520997949226,1.7967996700108042e-05,8.349647610063214e-06,1.5455396911472975e-05,2.1805324132407108e-05,5.3211817830944726e-05,4.693438132901749e-05,2.9856220970658038e-05,2.6774844292930468e-05,4.8075608800648786e-05,1.3666230499209418e-05,7.889495050335476e-05,2.596211057652715e-05,3.3593084940011366e-05,2.7280702019023103e-05,2.6381219492767664e-05,5.150964897747136e-05,3.458908023096885e-05,3.6305730658672975e-05,3.677300514933309e-05,4.72709660838806e-05,4.025562437670122e-05,7.536342886297098e-05,1.813833712443431e-05,-6.926428482206168e-06,1.716122772940327e-05,3.079324568621108e-05,3.067195277159223e-05,2.44164157250214e-05,4.4813797120964646e-05,2.7105992171028396e-05,7.600268569566821e-05,2.8962469136735507e-05,2.9350105174131718e-05,2.3719776165885267e-05,4.52210721005623e-05,4.6870682376082685e-05,3.5638318241160475e-05,2.9564615527844423e-05
CIPLA.NS,5.2496075337883406e-05,5.141219337186697e-05,5.641704598084411e-05,2.7224722075214443e-05,3.054891065894049e-05,2.844465444950666e-05,3.273128866956767e-05,2.291723601186903e-05,2.867450335780819e-05,3.203461380245179e-05,1.7967996700108042e-05,0.0002054206751802205,3.507675565142654e-05,7.706189362974923e-05,8.457316911303982e-05,2.9545984676568245e-05,3.823202322596119e-05,2.8778473488594244e-05,1.870511697463413e-05,3.819912460686274e-05,4.251657685377903e-05,2.3259366485322597e-05,1.749935206878333e-05,3.246069195599625e-05,2.716577148559746e-05,2.7094838347626642e-05,2.569553633882551e-05,4.300832535556957e-05,2.1984949499734647e-05,4.036426864659244e-05,4.1695900127153837e-05,2.2327419931141887e-05,2.3562973266199905e-05,3.5946163097088804e-05,2.108056376386516e-05,3.776846170940689e-05,2.513055525253083e-05,3.344047495963575e-05,2.2373419706737647e-05,3.01355197346103e-05,7.290171957260105e-05,2.628421763700704e-05,4.674748066992826e-05,2.54263347862461e-05,2.8247568402459346e-05,3.0494076489224574e-05,3.5726289971234656e-05,4.8478487457265185e-05,3.163121653592446e-05
COALINDIA.NS,0.0001694165044924976,0.00016013056116273678,5.3941346406136513e-05,1.1836541937834112e-05,7.43302544861261e-05,5.0417338589422086e-05,7.056558622857823e-05,6.693609762007185e-05,5.347496672991134e-05,0.00012942282920133045,8.349647610063214e-06,3.507675565142654e-05,0.00033740341724125636,4.337837179086819e-05,4.590465544123875e-05,6.121400395050613e-05,8.235233181187163e-05,5.40488942682185e-05,4.3646525781629195e-05,6.609258944456057e-05,0.00017250774344831893,1.1818093324404165e-06,4.77104809139547e-05,9.595399313974676e-05,3.386014687155339e-05,0.00014659151619747596,5.126665203198729e-05,0.00013387671661311694,4.776131603444424e-05,9.506800031676584e-05,6.816272598933656e-05,4.6970858705901645e-05,1.8121110474089273e-05,0.0001567265223247469,0.0001861213981629188,0.00011154276410019132,9.68170540371227e-05,6.30140254769886e-05,0.0001065721238644268,5.191468334662479e-05,5.539066260202499e-05,4.389485280751394e-05,0.000183672202970055,4.068292884403193e-05,5.8109503218754686e-05,6.0779184084523024e-05,5.405361134934114e-05,0.00011062309408193106,6.259228726423697e-05
DIVISLAB.NS,9.226615759943047e-05,7.480425064725893e-05,7.704350534880736e-05,5.4541172551714276e-05,3.5024227867205575e-05,6.014669093530008e-05,5.951475043755837e-05,6.113838745357467e-05,3.95002863018958e-05,5.311115263412591e-05,1.5455396911472975e-05,7.706189362974923e-05,4.337837179086819e-05,0.0002832390042212893,7.466310199900663e-05,5.596987629295529e-05,6.316046952983415e-05,5.747863583295728e-05,3.319062622069374e-05,5.5830838521276895e-05,9.449108700275991e-05,2.9654539037849043e-05,2.708215027149999e-05,6.847068135125321e-05,5.394393037959663e-05,5.449288343638457e-05,2.7626702403744214e-05,8.046599402415652e-05,3.3800245706331266e-05,5.79907618437926e-05,5.66769711288144e-05,3.770099234226367e-05,3.121105713692738e-05,3.868129112950431e-05,3.6555526708293054e-05,3.469115500834098e-05,4.336594994183411e-05,3.7437566260467296e-05,3.9430002322680975e-05,4.96851944976368e-05,7.149358266745755e-05,4.986851873559018e-05,8.863759875729725e-05,4.766377469867806e-05,6.867735005131905e-05,4.524707216885058e-05,5.987394586279564e-05,7.709308032249516e-05,7.310358547293311e-05
DRREDDY.NS,7.0987338708207e-05,6.243857065280257e-05,5.2895001107069556e-05,3.239895248144267e-05,3.719518749398389e-05,4.1742023113908195e-05,3.4595046759150164e-05,3.3265233861156197e-05,3.368135084892771e-05,4.775929649633137e-05,2.1805324132407108e-05,8.457316911303982e-05,4.590465544123875e-05,7.466310199900663e-05,0.00018971334493475688,4.419700976577894e-05,5.114584403014764e-05,4.2898290807287595e-05,3.2514396647277876e-05,4.5940646629287906e-05,5.347751244520556e-05,2.3410362978335924e-05,2.6234893829001296e-05,4.198943848502617e-05,3.905129446523411e-05,4.672789527316791e-05,3.122849625974544e-05,5.722773330262649e-05,2.415814600575297e-05,4.867151232182863e-05,5.556204268210413e-05,3.0333403186044907e-05,2.917550686346142e-05,4.055516708691883e-05,3.38282727211643e-05,3.293844650384088e-05,3.819402109297348e-05,3.3324154126826e-05,4.2414885119856367e-05,3.3291973753155485e-05,6.822016045585794e-05,3.353130216545578e-05,5.66799050880499e-05,3.583878378105496e-05,4.347530700842093e-05,3.711284593287948e-05,4.741413367559734e-05,4.729038584523297e-05,5.026470884189617e-05
